"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1979-Q4",10.0766666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1980-Q1",10.7333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1980-Q2",11.7566666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1980-Q3",11.7933333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1980-Q4",12.3066666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1981-Q1",13.1,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1981-Q2",13.1,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1981-Q3",14.6333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1981-Q4",15,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1982-Q1",15.0833333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1982-Q2",16,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1982-Q3",16.0333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1982-Q4",14.3833333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1983-Q1",13.6666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1983-Q2",13.9666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1983-Q3",14.55,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1983-Q4",13.3666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1984-Q1",13.8666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1984-Q2",13.9333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1984-Q3",13.0166666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1984-Q4",13.2833333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1985-Q1",13.5333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1985-Q2",13.75,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1985-Q3",13.7166666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1985-Q4",14.8166666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1986-Q1",13.4666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1986-Q2",12.6166666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1986-Q3",14.05,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1986-Q4",13.5333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1987-Q1",13.75,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1987-Q2",12.95,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1987-Q3",12.8,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1987-Q4",13.2666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1988-Q1",12.2,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1988-Q2",11.9166666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1988-Q3",11.9,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1988-Q4",12.4,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1989-Q1",13.5333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1989-Q2",13.6,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1989-Q3",13.3166666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","1989-Q4",13.1833333333333,
