"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1980-Q1",6.08265596950576,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1980-Q2",6.23245454474991,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1980-Q3",6.11012782214986,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1980-Q4",5.99626350207333,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1981-Q1",5.8194035107415,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1981-Q2",5.52071979549156,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1981-Q3",5.81797447929239,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1981-Q4",5.97491791706584,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1982-Q1",6.21922508026554,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1982-Q2",6.5404522063277,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1982-Q3",7.0705423418202,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1982-Q4",8.79999433926426,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1983-Q1",9.59603478600897,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1983-Q2",10.2159723617075,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1983-Q3",10.2866262602617,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1983-Q4",9.74661158074004,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1984-Q1",9.35280466497217,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1984-Q2",9.15618700737339,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1984-Q3",8.7772545714425,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1984-Q4",8.66616532767255,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1985-Q1",8.54001699308195,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1985-Q2",8.4964266692137,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1985-Q3",8.13365339565904,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1985-Q4",7.87354107573457,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1986-Q1",7.92006242402184,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1986-Q2",7.81063362781198,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1986-Q3",8.25037120611794,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1986-Q4",8.33533176245685,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1987-Q1",8.25971575256278,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1987-Q2",8.22079635559911,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1987-Q3",8.01568619054932,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1987-Q4",7.93247521205629,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1988-Q1",7.51595016278274,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1988-Q2",7.65230930235224,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1988-Q3",6.96519945964799,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1988-Q4",6.7770589854283,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1989-Q1",6.58109301881722,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1989-Q2",6.22207746372895,
"AUS","UNEMPFORECAST","TOT","PC_LF","Q","1989-Q3",6.03994698486939,
